open,label
-38473,0
-38489,0
-38472,0
-38464,0
-38509,0
-38641,0
-38836,0
-38991,0
-39093,0
-39225,0
-39453,0
-39810,0
-40227,0
-40602,0
-40905,0
-41158,0
-41434,0
-41767,0
-42126,0
-42478,0
-42780,0
-43042,0
-43274,0
-43452,0
-43579,0
-43664,0
-43717,0
-43737,0
-43708,0
-43567,0
-43243,0
-42797,0
-42330,0
-41893,0
-41519,0
-41172,0
-40811,0
-40454,0
-40164,0
-39999,0
-39939,0
-39890,0
-39732,0
-39417,0
-39045,0
-38749,0
-38595,0
-38551,0
-38516,0
-38453,0
-38373,0
-38315,0
-38286,0
-38230,0
-38126,0
-37943,0
-37702,0
-37508,0
-37391,0
-37333,0
-37335,0
-37405,0
-37549,0
-37764,0
-37989,0
-38164,0
-38336,0
-38570,0
-38838,0
-39111,0
-39374,0
-39578,0
-39730,0
-39905,0
-40157,0
-40495,0
-40811,0
-40971,0
-40994,0
-40968,0
-40982,0
-41103,0
-41279,0
-41388,0
-41398,0
-41380,0
-41399,0
-41471,0
-41600,0
-41765,0
-41904,0
-41955,0
-41909,0
-41833,0
-41756,0
-41679,0
-41618,0
-41538,0
-41422,0
-41250,0
-40967,0
-40630,0
-40329,0
-40049,0
-39753,0
-39372,0
-38851,0
-38280,0
-37806,0
-37477,0
-37234,0
-37014,0
-36796,0
-36580,0
-36440,0
-36456,0
-36635,0
-36920,0
-37236,0
-37525,0
-37816,0
-38198,0
-38678,0
-39162,0
-39584,0
-39973,0
-40365,0
-40755,0
-41149,0
-41552,0
-41944,0
-42294,0
-42594,0
-42818,0
-42919,0
-42913,0
-42849,0
-42805,0
-42832,0
-42874,0
-42888,0
-42831,0
-42667,0
-42495,0
-42413,0
-42385,0
-42323,0
-42167,0
-41959,0
-41785,0
-41706,0
-41695,0
-41649,0
-41510,0
-41270,0
-40983,0
-40749,0
-40567,0
-40384,0
-40163,0
-39902,0
-39642,0
-39383,0
-39133,0
-38913,0
-38713,0
-38584,0
-38536,0
-38470,0
-38329,0
-38167,0
-38036,0
-37970,0
-38017,0
-38158,0
-38292,0
-38390,0
-38517,0
-38739,0
-39083,0
-39490,0
-39851,0
-40099,0
-40271,0
-40464,0
-40702,0
-40937,0
-41100,0
-41137,0
-41088,0
-41026,0
-41017,0
-41053,0
-41072,0
-41055,0
-40974,0
-40866,0
-40812,0
-40807,0
-40833,0
-40860,0
-40882,0
-40903,0
-40865,0
-40738,0
-40565,0
-40385,0
-40241,0
-40176,0
-40142,0
-40035,0
-39837,0
-39588,0
-39354,0
-39221,0
-39149,0
-39019,0
-38817,0
-38594,0
-38456,0
-38513,0
-38723,0
-38947,0
-39109,0
-39220,0
-39330,0
-39476,0
-39647,0
-39805,0
-39929,0
-40026,0
-40122,0
-40204,0
-40272,0
-40350,0
-40411,0
-40439,0
-40443,0
-40392,0
-40267,0
-40116,0
-40018,0
-39990,0
-40025,0
-40086,0
-40110,0
-40099,0
-40098,0
-40151,0
-40283,0
-40444,0
-40569,0
-40603,0
-40586,0
-40664,0
-40878,0
-41137,0
-41345,0
-41460,0
-41549,0
-41657,0
-41741,0
-41765,0
-41698,0
-41513,0
-41238,0
-40903,0
-40529,0
-40130,0
-39722,0
-39320,0
-38946,0
-38613,0
-38301,0
-37976,0
-37650,0
-37398,0
-37268,0
-37268,0
-37350,0
-37427,0
-37473,0
-37538,0
-37682,0
-37912,0
-38161,0
-38372,0
-38515,0
-38646,0
-38865,0
-39186,0
-39551,0
-39888,0
-40173,0
-40429,0
-40697,0
-41013,0
-41324,0
-41560,0
-41715,0
-41810,0
-41905,0
-41999,0
-42058,0
-42156,0
-42339,0
-42569,0
-42789,0
-42926,0
-42963,0
-42935,0
-42939,0
-43014,0
-43079,0
-43079,0
-42941,0
-42625,0
-42260,0
-41957,0
-41708,0
-41448,0
-41120,0
-40689,0
-40181,0
-39739,0
-39425,0
-39155,0
-38873,0
-38556,0
-38220,0
-37958,0
-37812,0
-37706,0
-37611,0
-37547,0
-37510,0
-37546,0
-37657,0
-37802,0
-37983,0
-38215,0
-38532,0
-38873,0
-39147,0
-39336,0
-39437,0
-39543,0
-39768,0
-40104,0
-40451,0
-40723,0
-40916,0
-41078,0
-41299,0
-41615,0
-41923,0
-42144,0
-42297,0
-42444,0
-42644,0
-42882,0
-43063,0
-43127,0
-43039,0
-42827,0
-42606,0
-42398,0
-42155,0
-41871,0
-41547,0
-41169,0
-40758,0
-40356,0
-39952,0
-39543,0
-39154,0
-38781,0
-38440,0
-38103,0
-37744,0
-37424,0
-37190,0
-37065,0
-37012,0
-36952,0
-36888,0
-36841,0
-36869,0
-37069,0
-37395,0
-37704,0
-37908,0
-38006,0
-38097,0
-38295,0
-38619,0
-38978,0
-39268,0
-39472,0
-39645,0
-39832,0
-40022,0
-40197,0
-40334,0
-40405,0
-40483,0
-40628,0
-40815,0
-41043,0
-41307,0
-41597,0
-41891,0
-42138,0
-42335,0
-42500,0
-42663,0
-42875,0
-43139,0
-43407,0
-43605,0
-43686,0
-43681,0
-43663,0
-43661,0
-43601,0
-43372,0
-42955,0
-42424,0
-41874,0
-41374,0
-40928,0
-40456,0
-39894,0
-39306,0
-38776,0
-38332,0
-37973,0
-37653,0
-37343,0
-37069,0
-36857,0
-36726,0
-36675,0
-36681,0
-36717,0
-36763,0
-36837,0
-36927,0
-36987,0
-37039,0
-37112,0
-37229,0
-37433,0
-37690,0
-37914,0
-38063,0
-38186,0
-38381,0
-38692,0
-39102,0
-39544,0
-39944,0
-40325,0
-40772,0
-41296,0
-41848,0
-42371,0
-42806,0
-43150,0
-43490,0
-43886,0
-44296,0
-44664,0
-44928,0
-45032,0
-45020,0
-44931,0
-44759,0
-44524,0
-44245,0
-43953,0
-43658,0
-43322,0
-42919,0
-42455,0
-41973,0
-41533,0
-41153,0
-40806,0
-40442,0
-40031,0
-39621,0
-39292,0
-39073,0
-38891,0
-38626,0
-38245,0
-37825,0
-37501,0
-37329,0
-37270,0
-37261,0
-37216,0
-37123,0
-37056,0
-37045,0
-37052,0
-37048,0
-37045,0
-37045,0
-37069,0
-37142,0
-37247,0
-37389,0
-37597,0
-37859,0
-38148,0
-38450,0
-38746,0
-39046,0
-39391,0
-39837,0
-40366,0
-40894,0
-41370,0
-41751,0
-42054,0
-42389,0
-42774,0
-43097,0
-43273,0
-43301,0
-43224,0
-43116,0
-43025,0
-42893,0
-42635,0
-42216,0
-41688,0
-41149,0
-40666,0
-40249,0
-39845,0
-39407,0
-38988,0
-38682,0
-38512,0
-38449,0
-38490,0
-38648,0
-38862,0
-39054,0
-39201,0
-39290,0
-39314,0
-39301,0
-39317,0
-39374,0
-39394,0
-39312,0
-39135,0
-38920,0
-38747,0
-38634,0
-38501,0
-38291,0
-38031,0
-37784,0
-37670,0
-37776,0
-38011,0
-38235,0
-38399,0
-38530,0
-38703,0
-38982,0
-39363,0
-39782,0
-40216,0
-40670,0
-41131,0
-41618,0
-42110,0
-42571,0
-42985,0
-43316,0
-43557,0
-43699,0
-43711,0
-43607,0
-43421,0
-43216,0
-43032,0
-42819,0
-42535,0
-42194,0
-41845,0
-41589,0
-41460,0
-41353,0
-41173,0
-40893,0
-40566,0
-40325,0
-40212,0
-40104,0
-39909,0
-39640,0
-39322,0
-39010,0
-38766,0
-38566,0
-38348,0
-38088,0
-37828,0
-37589,0
-37387,0
-37275,0
-37252,0
-37294,0
-37400,0
-37553,0
-37719,0
-37891,0
-38142,0
-38505,0
-38974,0
-39550,0
-40145,0
-40685,0
-41163,0
-41576,0
-41965,0
-42361,0
-42710,0
-42905,0
-42925,0
-42868,0
-42831,0
-42857,0
-42901,0
-42869,0
-42718,0
-42485,0
-42232,0
-42012,0
-41796,0
-41538,0
-41258,0
-40950,0
-40625,0
-40332,0
-40089,0
-39898,0
-39725,0
-39552,0
-39387,0
-39206,0
-39014,0
-38833,0
-38680,0
-38569,0
-38470,0
-38323,0
-38092,0
-37834,0
-37631,0
-37500,0
-37415,0
-37288,0
-37045,0
-36706,0
-36406,0
-36294,0
-36370,0
-36562,0
-36782,0
-36977,0
-37215,0
-37544,0
-37965,0
-38466,0
-38956,0
-39394,0
-39810,0
-40248,0
-40702,0
-41136,0
-41597,0
-42088,0
-42553,0
-42951,0
-43222,0
-43348,0
-43373,0
-43352,0
-43289,0
-43161,0
-42991,0
-42761,0
-42493,0
-42290,0
-42192,0
-42197,0
-42241,0
-42224,0
-42135,0
-42028,0
-41994,0
-42040,0
-42059,0
-41982,0
-41792,0
-41531,0
-41280,0
-41047,0
-40781,0
-40476,0
-40122,0
-39744,0
-39436,0
-39213,0
-39064,0
-38977,0
-38902,0
-38808,0
-38675,0
-38518,0
-38361,0
-38234,0
-38160,0
-38114,0
-38096,0
-38089,0
-38042,0
-37969,0
-37965,0
-38104,0
-38338,0
-38583,0
-38807,0
-39006,0
-39210,0
-39479,0
-39809,0
-40114,0
-40337,0
-40444,0
-40485,0
-40581,0
-40748,0
-40934,0
-41115,0
-41258,0
-41349,0
-41416,0
-41497,0
-41589,0
-41699,0
-41831,0
-41941,0
-42022,0
-42034,0
-41937,0
-41774,0
-41593,0
-41444,0
-41337,0
-41215,0
-41032,0
-40775,0
-40500,0
-40253,0
-39997,0
-39697,0
-39321,0
-38867,0
-38436,0
-38124,0
-37938,0
-37829,0
-37726,0
-37607,0
-37525,0
-37551,0
-37743,0
-38068,0
-38421,0
-38778,0
-39143,0
-39519,0
-39932,0
-40336,0
-40697,0
-41046,0
-41379,0
-41643,0
-41812,0
-41933,0
-42034,0
-42119,0
-42198,0
-42235,0
-42195,0
-42078,0
-41915,0
-41778,0
-41713,0
-41673,0
-41578,0
-41398,0
-41177,0
-41008,0
-40921,0
-40889,0
-40863,0
-40793,0
-40730,0
-40727,0
-40762,0
-40818,0
-40834,0
-40763,0
-40606,0
-40383,0
-40157,0
-39938,0
-39681,0
-39408,0
-39170,0
-38965,0
-38744,0
-38478,0
-38197,0
-37956,0
-37786,0
-37713,0
-37723,0
-37769,0
-37840,0
-37931,0
-38067,0
-38311,0
-38612,0
-38851,0
-39024,0
-39188,0
-39388,0
-39673,0
-40022,0
-40352,0
-40587,0
-40706,0
-40774,0
-40879,0
-41041,0
-41193,0
-41265,0
-41267,0
-41222,0
-41157,0
-41118,0
-41108,0
-41118,0
-41139,0
-41148,0
-41143,0
-41113,0
-41068,0
-41043,0
-41039,0
-41064,0
-41075,0
-41000,0
-40846,0
-40666,0
-40526,0
-40480,0
-40480,0
-40417,0
-40237,0
-39988,0
-39768,0
-39619,0
-39527,0
-39406,0
-39173,0
-38867,0
-38556,0
-38281,0
